time,year,month,pop,dpopdt,PF,PV,mvd,season1,season2,season3,season4,season5,season6,Min_temp,Max_temp,Mean_temp,hadISD
2013.5,2013,7,6011136,0,108,1615,0.35,0,0,0.1666666666666666,0.6666666666666667,0.16666666666666674,0,25.21,32.11,29.03,82.49
2013.5833333333333,2013,8,6011136,0,242,1409,0.25,0,0,0.020833333333390155,0.47916666666695085,0.4791666666663825,0.0208333333332765,25.19,31.94,28.88,80.48
2013.6666666666667,2013,9,6011136,0,196,697,0.02,1.5696228097215656e-38,0,0,0.16666666666643917,0.6666666666666667,0.16666666666689411,25.36,34.97,30.5,72.76
2013.75,2013,10,6011136,0,147,268,0.04,0.020833333333333363,0,0,0.02083333333333329,0.4791666666666665,0.47916666666666674,22,33.88,28.17,70.97
2013.8333333333333,2013,11,6011136,0,159,152,0.02,0.16666666666643945,0,0,1.5627385089838848e-38,0.16666666666689392,0.6666666666666665,16.59,32.05,24.46,54.21
2013.9166666666667,2013,12,6011136,0,32,51,0.09,0.479166666666951,0.020833333333390228,0,0,0.02083333333327648,0.4791666666663822,12.18,29.16,20.89,55.87
2014,2014,1,6139645,0,10,35,0,0.6666666666666666,0.16666666666666666,0,0,0,0.16666666666666666,12.25,26.65,19.68,58.27
2014.0833333333333,2014,2,6139645,0,6,94,0,0.47916666666695085,0.47916666666638247,0.02083333333327649,0,0,0.020833333333390176,14.75,29.95,22.73,47.2
2014.1666666666667,2014,3,6139645,0,6,147,0.04,0.16666666666643923,0.6666666666666665,0.16666666666689403,1.5678998430151447e-38,0,0,19.01,35.35,27.66,37.58
2014.25,2014,4,6139645,0,9,302,0.02,0.02083333333333332,0.4791666666666666,0.47916666666666663,0.02083333333333334,0,0,24.35,40.51,33.12,36.14
2014.3333333333333,2014,5,6139645,0,5,522,0.04,1.5661781376312937e-38,0.16666666666689398,0.6666666666666665,0.1666666666664393,0,0,28.25,42.64,36.12,38.46
2014.4166666666667,2014,6,6139645,0,3,282,0,0,0.020833333333276485,0.4791666666663823,0.4791666666669509,0.02083333333339019,0,29.87,41.75,36.37,48.28
2014.5,2014,7,6139645,0,5,227,0,0,0,0.1666666666666666,0.6666666666666667,0.16666666666666674,0,27.39,36.1,32.22,66.52
2014.5833333333333,2014,8,6139645,0,80,495,0.25,0,0,0.020833333333390155,0.47916666666695085,0.4791666666663825,0.0208333333332765,26.35,33.94,30.5,75.7
